#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-03-01T19:28:57 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5c7987698e15 
#INFO -out.max=unlimited 
#INFO queryParameters=20 
#-oc.form=sexa
#-out.max=unlimited
#-nav=cat:J/AJ/140/631&tab:{J/AJ/140/631/catalog}&key:source=J/AJ/140/631&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/140/631/catalog
#-order=I
#-out=Seq
#-out=RAJ2000
#-out=DEJ2000
#-out=F225W
#-out=F275W
#-out=F336W
#-out=F435W
#-out=F606W
#-out=F625W
#-out=F658N
#-out=F814W
#

#RESOURCE=yCat_51400631
#Name: J/AJ/140/631
#Title: HST WFC3/UVIS photometry of omega Cen core (Bellini+, 2010)
#Coosys J2000_2003.290: eq_FK5 J2000    
#Table J_AJ_140_631_catalog:
#Name: J/AJ/140/631/catalog
#Title: Astrometric and photometric parameters for 32514 objects (Table 3 of the paper)
#---Details of Columns:
    Seq           (I5)    [1/32514] Star sequential number [ucd=meta.record]
    RAJ2000 (deg) (F11.7) Right ascension (J2000, Epoch J2003.29) [ucd=pos.eq.ra;meta.main]
    DEJ2000 (deg) (F11.7) Declination (J2000, Epoch J2003.29) [ucd=pos.eq.dec;meta.main]
    F225W (mag)   (F6.3)  HST F225W Vega-mag magnitude [ucd=phot.mag;em.UV]
    F275W (mag)   (F6.3)  HST F275W Vega-mag magnitude [ucd=phot.mag;em.UV.200-300nm]
    F336W (mag)   (F6.3)  HST F336W Vega-mag magnitude [ucd=phot.mag;em.opt.U]
    F435W (mag)   (F6.3)  HST F435W Vega-mag magnitude [ucd=phot.mag;em.opt.B]
    F606W (mag)   (F6.3)  HST F606W Vega-mag magnitude [ucd=phot.mag;em.opt.R]
    F625W (mag)   (F6.3)  HST F625W Vega-mag magnitude [ucd=phot.mag;em.opt.R]
    F658N (mag)   (F6.3)  HST F658N Vega-mag magnitude [ucd=phot.mag;em.opt.R]
    F814W (mag)   (F6.3)  HST F814W Vega-mag magnitude [ucd=phot.mag;em.opt.I]
----- ----------- ----------- ------ ------ ------ ------ ------ ------ ------ ------
 7050 201.7126735 -47.4868290 23.074 21.891 20.813 20.695 19.812 19.563 19.345 19.141
 7051 201.7086892 -47.4868480 24.119 22.629 21.184 20.869 19.873 19.658 19.435 19.206
 7052 201.7077238 -47.4868278 20.849 20.014 19.221 19.295 18.554 18.377 18.176 17.967
 7053 201.6950633 -47.4868477 22.824 21.696 20.519 20.471 19.517 19.336 19.096 18.846
 7054 201.6937647 -47.4868554 25.144 23.727 22.302 21.843 20.701 20.486 20.217 19.912
 7055 201.6893451 -47.4868605 22.364 21.101 19.913 19.717 18.831 18.647 18.428 18.202
 7056 201.6890547 -47.4868615 21.903 20.940 20.010 20.012 19.154 18.992 18.768 18.529
 7057 201.6835580 -47.4868704 22.120 21.063 20.156 20.145 19.289 19.121 18.891 18.668
 7058 201.6804113 -47.4868770 24.998 23.437 22.024 21.647 20.524 20.303 20.047 19.772
 7059 201.6507492 -47.4869098 22.626 21.628 20.604 20.571 19.683 19.467 19.251 19.019
 7060 201.6485930 -47.4868981 20.835 20.051 19.250 19.321 18.628 18.425 18.223 18.050
 7061 201.6479005 -47.4869149 23.333 22.197 21.082 20.990 20.118 19.863 19.650 19.428
 7062 201.7294633 -47.4867663 22.227 21.210 20.290 20.287 19.455 19.246 19.026 18.824
 7063 201.7223822 -47.4867868 23.939 22.661 21.380 21.179 20.163 19.914 19.676 19.464
 7064 201.7014625 -47.4868172 20.817 20.001 19.218 19.293 18.524 18.376 18.191 17.936
 7065 201.6808700 -47.4868557 22.418 21.376 20.443 20.484 19.641 19.452 19.220 18.985
 7066 201.6787830 -47.4868442 22.232 21.267 20.327 20.296 19.456 19.275 19.052 18.838
 7067 201.6767349 -47.4868570 22.585 21.344 20.154 19.908 19.011 18.824 18.620 18.384
 7068 201.6736772 -47.4868705 22.055 21.094 20.208 20.215 19.383 19.194 18.989 18.752
 7069 201.6735226 -47.4868655 22.173 21.144 20.241 20.284 19.464 19.272 19.049 18.810
 7070 201.6536261 -47.4868896 22.725 21.640 20.537 20.561 19.682 19.464 19.233 18.998
 7071 201.6459749 -47.4868800 21.842 20.907 19.974 20.001 19.232 18.965 18.746 18.575
 7072 201.7311822 -47.4867567 20.427 19.632 18.889 18.937 18.218 18.027 17.841 17.663
 7073 201.7173168 -47.4867830 23.753 22.335 21.120 21.016 20.022 19.813 19.579 19.306
 7074 201.7131164 -47.4867919 24.483 23.158 21.652 21.413 20.378 20.120 19.857 19.596
 7075 201.7124108 -47.4867897 22.916 21.765 20.759 20.688 19.744 19.517 19.278 19.030
 7076 201.7116343 -47.4867910 22.428 21.354 20.418 20.362 19.513 19.298 19.087 18.875
 7077 201.7094215 -47.4867927 21.580 20.700 19.813 19.906 19.122 18.921 18.706 18.493
 7078 201.7016004 -47.4868012 21.002 20.110 19.323 19.305 18.526 18.374 18.175 17.975
 7079 201.6956229 -47.4868040 24.656 23.269 21.674 21.371 20.210 19.960 19.678 19.394
 7080 201.6898275 -47.4868333 24.504 22.929 21.457 21.271 20.257 20.023 19.765 19.515
 7081 201.6771256 -47.4868289 21.496 20.593 19.825 19.874 19.106 18.940 18.735 18.518
 7082 201.6756949 -47.4868416 21.101 20.207 19.409 19.394 18.640 18.473 18.278 18.056
 7083 201.6463061 -47.4868675 22.366 21.373 20.334 20.348 19.512 19.290 19.068 18.848
 7084 201.7180645 -47.4867458 23.187 21.989 20.849 20.803 19.857 19.654 19.438 19.169
 7085 201.7003958 -47.4867856 24.932 23.530 21.864 21.576 20.498 20.266 19.998 19.702
 7086 201.6940362 -47.4867932 22.109 21.117 20.125 20.233 19.370 19.197 18.956 18.723
 7087 201.6681515 -47.4868326 22.506 21.417 20.347 20.411 19.506 19.316 19.084 18.848
 7088 201.6637712 -47.4868338 22.110 21.066 19.986 19.972 19.097 18.862 18.670 18.460
 7089 201.6524159 -47.4868503 23.988 22.552 21.389 21.234 20.255 20.027 19.793 19.541
 7090 201.7286695 -47.4867070 21.698 20.598 19.491 19.467 18.578 18.378 18.158 17.955
 7091 201.7284276 -47.4867157 23.542 22.567 21.302 21.143 20.129 19.915 19.684 19.430
 7092 201.7195221 -47.4867371 23.651 22.283 21.168 20.929 20.026 19.687 19.453 19.343
 7093 201.7159157 -47.4867453 22.621 21.559 20.602 20.591 19.699 19.509 19.284 19.063
 7094 201.7071946 -47.4867564 24.321 22.754 21.219 21.021 19.959 19.761 19.505 19.217
 7095 201.6993954 -47.4867650 20.246 19.478 18.729 18.769 18.058 17.899 17.686 17.485
 7096 201.6987260 -47.4867621 20.943 20.099 19.328 19.372 18.639 18.470 18.250 18.041
 7097 201.6966758 -47.4867560 24.433 23.222 21.971 21.591 20.534 20.257 19.992 19.759
 7098 201.6837795 -47.4867802 20.997 20.156 19.381 19.446 18.711 18.531 18.325 18.110
 7099 201.6729433 -47.4867888 21.804 20.876 20.031 20.073 19.282 19.084 18.889 18.678
 7100 201.6497136 -47.4868299 24.224 22.918 21.382 21.186 20.136 19.899 19.663 19.403
 7101 201.7275107 -47.4866857 22.049 21.040 20.095 20.143 19.309 19.112 18.908 18.677
 7102 201.7240070 -47.4867027 21.123 20.258 19.518 19.547 18.800 18.611 18.408 18.218
 7103 201.7209619 -47.4867119 22.790 21.503 20.232 19.996 19.093 18.877 18.655 18.441
 7104 201.7076724 -47.4867541 22.400 21.366 20.361 20.373 19.508 19.304 19.079 18.850
 7105 201.7005020 -47.4867316 22.531 21.540 20.441 20.497 19.601 19.390 19.148 18.926
 7106 201.6840527 -47.4867644 23.026 21.812 20.681 20.692 19.762 19.564 19.325 19.075
 7107 201.6781778 -47.4867625 21.779 20.797 19.916 19.884 19.079 18.904 18.709 18.476
 7108 201.6734306 -47.4867711 23.025 21.735 20.530 20.285 19.360 19.180 18.954 18.726
 7109 201.6631941 -47.4867965 20.286 19.516 18.789 18.836 18.137 17.957 17.795 17.581
 7110 201.6582868 -47.4867886 21.589 20.625 19.776 19.861 19.076 18.873 18.681 18.463
 7111 201.6481125 -47.4868060 20.700 19.900 19.149 19.192 18.455 18.282 18.109 17.932
 7112 201.7238087 -47.4866862 22.339 21.251 20.132 20.040 19.210 19.025 18.818 18.612
 7113 201.7152203 -47.4866893 22.420 21.347 20.430 20.397 19.563 19.385 19.168 18.930
 7114 201.7070262 -47.4867141 20.540 19.740 19.009 19.074 18.353 18.175 17.979 17.783
 7115 201.7048527 -47.4867214 21.705 20.757 19.790 19.802 18.987 18.786 18.577 18.363
 7116 201.6973210 -47.4867182 21.995 21.027 20.146 20.187 19.359 19.200 18.950 18.737
 7117 201.6854809 -47.4867407 21.208 20.360 19.513 19.624 18.856 18.683 18.468 18.261
 7118 201.6844046 -47.4867384 22.545 21.421 20.399 20.301 19.468 19.276 19.049 18.863
 7119 201.6708526 -47.4867639 21.579 20.673 19.797 19.863 19.056 18.877 18.663 18.446
 7120 201.6660602 -47.4867614 22.706 21.428 20.197 19.955 19.056 18.859 18.647 18.411
 7121 201.6649399 -47.4867571 20.719 19.937 19.182 19.250 18.517 18.346 18.164 17.946
 7122 201.6490929 -47.4867916 23.112 21.982 20.981 20.903 20.021 19.837 19.598 19.354
 7123 201.7232237 -47.4866629 20.884 19.948 19.140 19.125 18.357 18.189 17.965 17.789
 7124 201.7146399 -47.4866679 24.023 22.604 21.483 21.276 20.286 20.050 19.791 19.556
 7125 201.7107192 -47.4866888 23.797 22.419 21.152 20.980 20.028 19.750 19.500 19.299
 7126 201.6996614 -47.4867084 23.768 22.616 21.208 21.088 20.070 19.842 19.620 19.355
 7127 201.6991387 -47.4866922 24.046 22.688 21.501 21.269 20.285 20.003 19.778 19.555
 7128 201.6981310 -47.4867110 21.077 20.218 19.439 19.516 18.750 18.572 18.380 18.152
 7129 201.6777924 -47.4867352 21.558 20.697 19.810 19.897 19.061 18.898 18.692 18.444
 7130 201.6731819 -47.4867260 23.661 22.234 20.877 20.570 19.565 19.362 19.131 18.899
 7131 201.6611928 -47.4867510 20.819 20.014 19.288 19.338 18.598 18.432 18.248 18.010
 7132 201.6468142 -47.4867701 21.224 20.284 19.308 19.239 18.470 18.259 18.063 17.875
 7133 201.7304666 -47.4866355 21.967 21.018 20.107 20.084 19.283 19.068 18.856 18.677
 7134 201.7229199 -47.4866463 21.003 20.138 19.354 19.371 18.670 18.440 18.237 18.136
 7135 201.7226001 -47.4866346 23.424 22.179 21.060 21.013 20.080 19.852 19.614 19.302
 7136 201.7213807 -47.4866516 21.104 20.280 19.467 19.550 18.791 18.611 18.398 18.189
 7137 201.7063870 -47.4866675 20.964 20.048 19.237 19.218 18.462 18.271 18.071 17.865
 7138 201.7057665 -47.4866595 21.604 20.699 19.896 19.931 19.158 18.983 18.781 18.566
 7139 201.7007178 -47.4866734 21.081 20.163 19.275 19.204 18.418 18.236 18.029 17.815
 7140 201.6939887 -47.4867096 22.566 21.474 20.545 20.554 19.760 19.481 19.233 19.333
 7141 201.6911729 -47.4866907 22.463 21.433 20.348 20.355 19.450 19.252 19.016 18.782
 7142 201.6882390 -47.4866998 20.897 20.069 19.269 19.337 18.588 18.419 18.205 17.997
 7143 201.6789510 -47.4867073 22.421 21.372 20.384 20.408 19.540 19.349 19.125 18.885
 7144 201.6496382 -47.4867529 24.100 22.695 21.286 21.134 20.170 19.894 19.643 19.463
 7145 201.7154822 -47.4866418 20.733 19.901 19.162 19.199 18.485 18.310 18.125 17.901
 7146 201.7123653 -47.4866346 23.311 22.107 20.823 20.801 19.802 19.576 19.332 19.069
 7147 201.7109728 -47.4866440 22.362 21.283 20.326 20.335 19.481 19.276 19.058 18.837
 7148 201.7044106 -47.4866474 22.905 21.743 20.621 20.640 19.713 19.498 19.266 19.022
 7149 201.6993693 -47.4866789 23.140 21.914 20.912 20.847 19.957 19.730 19.519 19.275
 7150 201.6944053 -47.4866716 24.744 23.264 21.901 21.683 20.522 20.410 20.133 19.737
 7151 201.6920164 -47.4866793 21.439 20.562 19.778 19.833 19.080 18.896 18.680 18.469
 7152 201.6643375 -47.4867010 20.966 20.152 19.319 19.368 18.629 18.424 18.237 18.043
 7153 201.6640656 -47.4867117 21.056 20.236 19.369 19.419 18.633 18.452 18.269 18.023
 7154 201.6625465 -47.4867142 21.255 20.402 19.553 19.654 18.896 18.704 18.517 18.303
 7155 201.6592047 -47.4867065 22.333 21.191 20.207 20.230 19.383 19.184 18.990 18.740
 7156 201.7246657 -47.4865942 23.194 21.993 20.769 20.718 19.845 19.550 19.360 19.154
 7157 201.7172791 -47.4866077 23.261 22.018 20.955 20.843 19.937 19.726 19.488 19.261
 7158 201.7098249 -47.4866303 22.961 21.868 20.667 20.614 19.664 19.464 19.242 18.983
 7159 201.7049538 -47.4866314 21.563 20.610 19.746 19.714 18.938 18.755 18.548 18.335
 7160 201.7023785 -47.4866243 22.899 21.772 20.718 20.673 19.759 19.569 19.344 19.031
 7161 201.6906700 -47.4866431 22.514 21.457 20.387 20.269 19.405 19.181 18.930 18.752
 7162 201.6884649 -47.4866618 23.555 21.959 20.508 20.187 19.219 19.021 18.771 18.564
 7163 201.6802080 -47.4866603 21.488 20.635 19.821 19.878 19.096 18.922 18.694 18.498
 7164 201.6619346 -47.4866959 21.294 20.278 19.256 19.228 18.397 18.196 18.022 17.785
 7165 201.6601516 -47.4866833 21.133 20.302 19.478 19.546 18.790 18.605 18.414 18.191
 7166 201.6594352 -47.4866919 21.034 20.163 19.293 19.360 18.601 18.414 18.229 18.007
 7167 201.6589468 -47.4866985 22.638 21.677 20.666 20.615 19.762 19.554 19.346 19.130
 7168 201.6493207 -47.4867054 23.821 22.657 21.210 21.056 19.995 19.828 19.599 19.206
 7169 201.7208068 -47.4865726 22.218 21.236 20.260 20.316 19.474 19.258 19.038 18.824
 7170 201.7133498 -47.4865962 22.393 21.359 20.393 20.285 19.466 19.239 19.049 18.861
 7171 201.7111136 -47.4866008 20.448 19.650 18.926 18.961 18.252 18.070 17.877 17.681
 7172 201.7064895 -47.4866037 20.733 19.896 19.099 19.158 18.416 18.245 18.040 17.826
 7173 201.7052985 -47.4866061 23.045 21.832 20.685 20.617 19.692 19.486 19.260 19.024
 7174 201.7009932 -47.4866185 20.454 19.657 18.907 18.957 18.237 18.068 17.865 17.672
 7175 201.6980706 -47.4866374 22.390 21.349 20.316 20.362 19.493 19.288 19.072 18.837
 7176 201.6968703 -47.4866150 23.075 21.992 20.723 20.660 19.697 19.469 19.229 19.022
 7177 201.6917384 -47.4866199 21.328 20.434 19.621 19.655 18.898 18.732 18.512 18.312
 7178 201.6908521 -47.4866307 23.761 22.376 20.998 20.895 19.869 19.681 19.428 19.165
 7179 201.6645866 -47.4866532 20.867 20.050 19.313 19.338 18.611 18.435 18.259 18.041
 7180 201.7236074 -47.4865475 23.764 22.259 21.066 20.977 19.997 19.775 19.548 19.212
 7181 201.7088573 -47.4865850 21.186 20.338 19.501 19.605 18.823 18.647 18.422 18.219
 7182 201.7066248 -47.4865858 22.406 21.355 20.458 20.445 19.588 19.406 19.173 18.950
 7183 201.7058520 -47.4865824 21.631 20.690 19.826 19.783 18.979 18.775 18.553 18.354
 7184 201.6994990 -47.4865869 22.844 21.727 20.758 20.735 19.818 19.660 19.435 19.153
 7185 201.6788069 -47.4866314 21.255 20.347 19.511 19.496 18.731 18.557 18.357 18.145
 7186 201.6598310 -47.4866409 22.106 21.216 20.137 20.077 19.158 18.952 18.736 18.511
 7187 201.6988534 -47.4865736 20.453 19.657 18.913 18.952 18.231 18.062 17.848 17.656
 7188 201.6818710 -47.4866023 21.102 20.202 19.382 19.432 18.635 18.482 18.275 18.063
 7189 201.6710767 -47.4866224 22.663 21.558 20.371 20.302 19.323 19.104 18.882 18.593
 7190 201.7275417 -47.4865440 22.926 21.781 20.626 20.620 19.692 19.473 19.241 18.993
 7191 201.7190107 -47.4865340 21.591 20.703 19.885 19.976 19.168 18.992 18.791 18.556
 7192 201.7187856 -47.4865150 21.027 20.190 19.396 19.479 18.736 18.551 18.338 18.154
 7193 201.7168618 -47.4865280 23.088 21.843 20.650 20.516 19.595 19.375 19.139 18.927
 7194 201.7021765 -47.4865496 21.955 20.986 20.104 20.122 19.291 19.127 18.913 18.659
 7195 201.7012290 -47.4865607 20.427 19.622 18.879 18.923 18.206 18.030 17.823 17.632
 7196 201.6920931 -47.4865756 25.308 23.560 21.822 21.553 20.499 20.216 19.947 19.720
 7197 201.6894629 -47.4865757 21.999 21.071 20.212 20.236 19.438 19.251 19.020 18.826
 7198 201.6835083 -47.4865799 22.760 21.679 20.619 20.566 19.659 19.461 19.220 18.994
 7199 201.6630256 -47.4866035 20.566 19.792 19.033 19.060 18.319 18.152 17.970 17.739
 7200 201.7305274 -47.4864850 23.821 22.439 21.239 21.063 20.072 19.858 19.611 19.360
 7201 201.7298534 -47.4864985 21.595 20.650 19.802 19.877 19.081 18.883 18.686 18.465
 7202 201.7288126 -47.4864943 24.417 22.927 21.370 20.966 19.914 19.682 19.442 19.241
 7203 201.7153808 -47.4864979 23.517 22.220 21.011 20.914 19.954 19.750 19.519 19.246
 7204 201.7127483 -47.4865198 20.302 19.514 18.784 18.804 18.126 17.924 17.738 17.556
 7205 201.7011046 -47.4865324 21.605 20.582 19.584 19.477 18.673 18.490 18.262 18.065
 7206 201.6979372 -47.4865254 22.356 21.314 20.406 20.411 19.596 19.380 19.150 18.967
 7207 201.6959863 -47.4865378 21.040 20.176 19.440 19.489 18.749 18.580 18.382 18.177
 7208 201.6859872 -47.4865585 22.641 21.576 20.502 20.539 19.657 19.414 19.181 18.962
 7209 201.6858460 -47.4865602 24.782 23.296 21.765 21.506 20.335 20.209 19.932 19.567
 7210 201.6792854 -47.4865613 21.946 21.003 19.971 19.997 19.137 18.953 18.727 18.508
 7211 201.6755341 -47.4865637 20.641 19.770 18.945 18.916 18.121 17.944 17.759 17.529
 7212 201.6639785 -47.4865860 21.747 20.823 19.932 19.965 19.163 18.935 18.711 18.520
 7213 201.6594636 -47.4865958 22.821 21.742 20.679 20.645 19.753 19.527 19.313 19.068
 7214 201.6533416 -47.4865982 23.871 22.572 21.219 21.086 20.096 19.857 19.615 19.349
 7215 201.7172437 -47.4864796 22.014 21.038 20.175 20.209 19.444 19.223 18.983 18.822
 7216 201.6999495 -47.4865177 23.062 21.911 20.861 20.743 19.842 19.663 19.429 19.214
 7217 201.6965961 -47.4865242 23.893 22.626 21.326 21.198 20.191 19.957 19.713 19.457
 7218 201.6922146 -47.4865139 20.872 19.962 19.087 19.177 18.377 18.189 17.974 17.745
 7219 201.6882380 -47.4865301 23.144 21.980 20.829 20.774 19.850 19.618 19.356 19.151
 7220 201.6853044 -47.4865612 23.075 21.853 20.790 20.688 19.788 19.603 19.378 19.139
 7221 201.6836686 -47.4865300 21.014 20.179 19.411 19.474 18.733 18.553 18.346 18.145
 7222 201.6778851 -47.4865519 22.588 21.496 20.576 20.596 19.692 19.533 19.319 19.032
 7223 201.6503995 -47.4865776 20.966 20.164 19.336 19.368 18.625 18.456 18.257 18.039
 7224 201.7186283 -47.4864535 21.003 20.162 19.347 19.419 18.654 18.467 18.264 18.074
 7225 201.7138251 -47.4864675 21.344 20.485 19.609 19.691 18.931 18.736 18.529 18.321
 7226 201.7135332 -47.4864756 21.791 20.846 19.941 20.000 19.237 18.985 18.773 18.613
 7227 201.7120709 -47.4864694 23.466 22.199 21.056 20.967 20.021 19.774 19.556 19.309
 7228 201.7108007 -47.4864810 24.436 22.949 21.476 21.277 20.226 19.993 19.751 19.466
 7229 201.7094158 -47.4864683 24.349 22.852 21.626 21.389 20.371 20.130 19.892 19.658
 7230 201.7091174 -47.4864871 21.028 20.190 19.397 19.467 18.742 18.528 18.326 18.147
 7231 201.7048656 -47.4864946 22.200 21.164 20.091 20.094 19.217 19.010 18.783 18.562
 7232 201.7038832 -47.4864800 21.451 20.557 19.754 19.819 19.037 18.857 18.651 18.441
 7233 201.7000718 -47.4864862 21.419 20.466 19.500 19.516 18.701 18.486 18.252 18.068
 7234 201.6896239 -47.4865078 21.445 20.544 19.689 19.759 18.987 18.811 18.571 18.371
 7235 201.6891933 -47.4864997 23.315 22.168 20.913 20.872 19.904 19.703 19.443 19.207
 7236 201.6797181 -47.4865190 20.921 20.075 19.214 19.259 18.483 18.318 18.114 17.884
 7237 201.6772423 -47.4865210 22.482 21.428 20.495 20.515 19.643 19.460 19.217 19.005
 7238 201.6684576 -47.4865423 24.680 23.182 21.698 21.490 20.364 20.160 19.928 19.585
 7239 201.6608890 -47.4865503 22.890 21.691 20.765 20.743 19.879 19.662 19.431 19.203
 7240 201.6584612 -47.4865476 22.975 21.825 20.852 20.806 19.896 19.710 19.492 19.236
 7241 201.7164553 -47.4864472 21.835 20.877 19.946 20.048 19.229 19.034 18.815 18.620
 7242 201.7080517 -47.4864672 22.743 21.660 20.685 20.619 19.749 19.463 19.257 19.074
 7243 201.7031194 -47.4864747 21.389 20.467 19.481 19.488 18.651 18.460 18.255 18.029
 7244 201.7029665 -47.4864636 22.983 21.783 20.792 20.766 19.860 19.666 19.414 19.190
 7245 201.6880078 -47.4864814 22.396 21.297 20.340 20.313 19.445 19.249 19.017 18.803
 7246 201.6848738 -47.4864903 24.234 22.826 21.587 21.347 20.305 20.113 19.853 19.589
 7247 201.6816301 -47.4864893 21.698 20.785 19.960 19.990 19.204 19.030 18.821 18.604
 7248 201.6736670 -47.4865019 22.641 21.623 20.514 20.525 19.637 19.426 19.198 18.971
 7249 201.6534638 -47.4865274 20.756 19.903 19.100 19.136 18.408 18.183 18.025 17.824
 7250 201.7319487 -47.4863889 22.732 21.443 20.181 19.947 19.019 18.831 18.605 18.396
 7251 201.7045885 -47.4864516 24.238 22.586 21.162 20.788 19.796 19.580 19.327 19.119
 7252 201.7044118 -47.4864402 21.351 20.487 19.695 19.766 19.004 18.820 18.617 18.404
 7253 201.7037820 -47.4864533 21.670 20.759 19.863 19.938 19.136 18.954 18.741 18.520
 7254 201.7023571 -47.4864502 21.779 20.807 19.926 19.932 19.145 18.921 18.706 18.549
 7255 201.7017171 -47.4864737 22.068 21.086 20.167 20.134 19.319 19.122 18.905 18.698
 7256 201.6873562 -47.4864598 22.662 21.547 20.501 20.508 19.597 19.434 19.197 18.926
 7257 201.6676429 -47.4864875 21.441 20.549 19.745 19.788 19.010 18.846 18.643 18.424
 7258 201.7198831 -47.4864017 20.700 19.886 19.163 19.212 18.495 18.313 18.115 17.912
 7259 201.7051455 -47.4864296 20.869 20.025 19.226 19.251 18.513 18.308 18.085 17.921
 7260 201.7012061 -47.4864254 20.659 19.873 19.112 19.184 18.453 18.281 18.084 17.868
 7261 201.7007891 -47.4864371 22.609 21.495 20.579 20.593 19.716 19.534 19.289 19.046
 7262 201.6929483 -47.4864479 20.842 19.987 19.193 19.231 18.487 18.319 18.106 17.903
 7263 201.6920368 -47.4864324 24.437 22.988 21.739 21.487 20.440 20.228 19.974 19.705
 7264 201.6874867 -47.4864548 25.023 23.486 21.750 21.411 20.310 20.082 19.802 19.540
 7265 201.6858869 -47.4864563 25.088 23.738 21.765 21.205 20.036 19.865 19.594 19.309
 7266 201.6777440 -47.4864678 21.790 20.851 19.964 20.034 19.204 19.027 18.814 18.578
 7267 201.6762105 -47.4864560 21.604 20.666 19.702 19.769 18.943 18.759 18.548 18.321
 7268 201.6692370 -47.4864736 21.298 20.455 19.670 19.710 18.926 18.768 18.573 18.439
 7269 201.6646521 -47.4864797 20.752 19.975 19.208 19.275 18.537 18.365 18.180 17.958
 7270 201.7256996 -47.4863673 20.671 19.880 19.102 19.191 18.393 18.272 18.065 17.811
 7271 201.7248281 -47.4863706 24.123 22.859 21.353 21.235 20.266 19.932 19.617 19.510
 7272 201.7202709 -47.4863701 23.785 22.402 21.028 20.986 20.030 19.771 19.552 19.308
 7273 201.7127076 -47.4863947 25.210 24.046 22.339 21.818 20.618 20.359 20.066 19.808
 7274 201.7115170 -47.4863907 21.618 20.699 19.839 19.881 19.117 18.904 18.687 18.490
 7275 201.7054957 -47.4864050 22.080 21.107 20.163 20.210 19.393 19.192 18.971 18.746
 7276 201.6979752 -47.4864158 22.339 21.361 20.454 20.481 19.586 19.479 19.200 18.920
 7277 201.6893727 -47.4864324 23.375 22.134 21.029 20.896 19.958 19.749 19.506 19.285
 7278 201.6865265 -47.4864355 20.732 19.844 19.058 19.037 18.289 18.113 17.905 17.700
 7279 201.6852907 -47.4864326 20.703 19.871 19.155 19.160 18.436 18.261 18.062 17.876
 7280 201.6727430 -47.4864363 18.687 18.654 19.030 20.455 20.577 20.638 20.543 20.618
 7281 201.6685144 -47.4864528 22.351 21.381 20.342 20.379 19.511 19.306 19.083 18.850
 7282 201.7117679 -47.4863633 21.532 20.658 19.799 19.875 19.082 18.887 18.676 18.475
 7283 201.7106905 -47.4863763 23.259 21.858 20.517 20.257 19.300 19.101 18.879 18.642
 7284 201.7053860 -47.4863839 22.824 21.699 20.707 20.658 19.764 19.558 19.327 19.094
 7285 201.7028136 -47.4863868 21.555 20.616 19.816 19.818 19.055 18.864 18.667 18.454
 7286 201.6856709 -47.4864092 21.012 20.217 19.415 19.469 18.708 18.530 18.310 18.123
 7287 201.6846765 -47.4863997 24.665 23.337 21.847 21.499 20.339 20.105 19.858 19.576
 7288 201.6839113 -47.4864064 24.208 22.571 21.223 21.105 20.102 19.891 19.617 19.371
 7289 201.6715464 -47.4864364 24.144 22.822 21.432 21.267 20.229 19.992 19.746 19.487
 7290 201.6616483 -47.4864441 23.634 22.379 21.092 20.986 20.014 19.791 19.591 19.304
 7291 201.6571615 -47.4864348 21.665 20.769 19.886 19.934 19.178 18.950 18.743 18.606
 7292 201.7309858 -47.4863223 21.931 20.931 19.959 20.009 19.187 18.968 18.738 18.553
 7293 201.7272151 -47.4863292 23.617 22.244 20.886 20.787 19.767 19.562 19.320 19.050
 7294 201.7094649 -47.4863486 24.326 22.833 21.298 21.129 20.090 19.840 19.613 19.325
 7295 201.7078922 -47.4863469 24.704 23.497 21.768 21.518 20.385 20.155 19.938 19.608
 7296 201.7023096 -47.4863668 20.847 20.027 19.296 19.334 18.625 18.431 18.231 18.059
 7297 201.6969533 -47.4863790 25.347 24.393 22.894 22.180 20.951 20.690 20.473 20.116
 7298 201.6930685 -47.4863747 22.133 21.157 20.309 20.320 19.516 19.323 19.090 18.888
 7299 201.6881985 -47.4863809 21.191 20.268 19.335 19.339 18.553 18.414 18.126 17.926
 7300 201.6700713 -47.4863996 21.263 20.406 19.575 19.649 18.862 18.695 18.495 18.260
 7301 201.6521036 -47.4864323 20.764 19.925 19.080 19.099 18.404 18.172 17.983 17.815
 7302 201.7329200 -47.4862908 23.329 22.202 20.886 20.893 19.961 19.718 19.480 19.262
 7303 201.7165111 -47.4863175 21.714 20.740 19.894 19.884 19.095 18.912 18.714 18.506
 7304 201.7062584 -47.4863446 21.595 20.687 19.791 19.877 19.092 18.893 18.684 18.471
 7305 201.7019150 -47.4863515 21.395 20.472 19.653 19.674 18.896 18.705 18.494 18.275
 7306 201.7016258 -47.4863397 21.294 20.425 19.600 19.683 18.921 18.736 18.545 18.330
 7307 201.6890837 -47.4863639 21.293 20.412 19.576 19.666 18.896 18.718 18.505 18.283
 7308 201.6641257 -47.4863900 21.050 20.215 19.379 19.351 18.599 18.420 18.238 18.022
 7309 201.7319472 -47.4862647 22.370 21.389 20.373 20.436 19.561 19.341 19.115 18.883
 7310 201.7109597 -47.4863172 25.013 23.447 21.932 21.594 20.459 20.233 19.990 19.668
